EventCountry,Frequency,EventCountry_Encoded
United States,167068,0
Australia,32332,1
Canada,21948,2
Mexico,21866,3
Spain,19061,4
Switzerland,13720,5
Brazil,9880,6
Poland,9265,7
Germany,9067,8
France,8757,9
Philippines,8575,10
Argentina,7881,11
Chile,6296,12
Colombia,5929,13
Japan,5528,14
Ecuador,4670,15
New Zealand,4147,16
South Africa,4102,17
Vietnam,3520,18
Peru,2997,19
Uruguay,2556,20
United Kingdom,2498,21
Middle East,1936,22
Luxembourg,1783,23
Malaysia,1739,24
Austria,1699,25
Panama,1542,26
Oman,1207,27
South Korea,1064,28
Estonia,452,29
India,417,30
