EventLocation,Frequency,EventLocation_Encoded
IRONMAN 70.3 Augusta,23803,0
IRONMAN 70.3 Florida,22576,1
IRONMAN 70.3 Texas,17168,2
IRONMAN 70.3 Eagleman,16618,3
IRONMAN 70.3 Mallorca,16307,4
IRONMAN 70.3 Hawaii,14821,5
IRONMAN 70.3 Boulder,13932,6
IRONMAN 70.3 Switzerland,13720,7
IRONMAN 70.3 Muncie,11167,8
IRONMAN 70.3 Gdynia,9265,9
IRONMAN 70.3 Kraichgau,9067,10
IRONMAN 70.3 Cozumel,8730,11
IRONMAN 70.3 Sunshine Coast,8643,12
IRONMAN 70.3 Muskoka,8490,13
IRONMAN 70.3 Philippines,8110,14
IRONMAN 70.3 Monterrey,8058,15
IRONMAN 70.3 Port Macquarie,7700,16
IRONMAN 70.3 Vichy,6989,17
IRONMAN 70.3 Victoria,6808,18
IRONMAN 70.3 Boise,6729,19
IRONMAN 70.3 Calgary,6650,20
IRONMAN 70.3 Chattanooga,6523,21
IRONMAN 70.3 Ohio,6487,22
IRONMAN 70.3 Pucon,6296,23
IRONMAN 70.3 Cairns,6078,24
IRONMAN 70.3 Cartagena,5929,25
IRONMAN 70.3 Coeur d'Alene,5731,26
IRONMAN 70.3 Japan,5528,27
IRONMAN 70.3 Western Sydney,5220,28
IRONMAN 70.3 Geelong,4691,29
IRONMAN 70.3 Ecuador,4670,30
IRONMAN 70.3 San Juan,4639,31
IRONMAN 70.3 Durban,4102,32
IRONMAN 70.3 Wisconsin,4039,33
IRONMAN 70.3 Rio de Janeiro,4036,34
IRONMAN 70.3 Maine,3937,35
IRONMAN 70.3 Vietnam,3520,36
IRONMAN 70.3 Buenos Aires,3242,37
IRONMAN 70.3 Santa Cruz,3226,38
IRONMAN 70.3 Peru,2997,39
IRONMAN 70.3 Taupo,2817,40
IRONMAN 70.3 Marbella,2754,41
IRONMAN 70.3 Campeche,2568,42
IRONMAN 70.3 Punta del Este,2556,43
IRONMAN 70.3 Los Cabos,2510,44
IRONMAN 70.3 Weymouth,2498,45
IRONMAN 70.3 Indian Wells La Quinta,2467,46
IRONMAN 70.3 Gulf Coast,2426,47
IRONMAN 70.3 North Carolina,2425,48
IRONMAN 70.3 Florianopolis,1957,49
IRONMAN 70.3 Middle East Championship Bahrain,1936,50
IRONMAN 70.3 Luxembourg - R̩gion Moselle,1783,51
IRONMAN 70.3 Nice,1768,52
IRONMAN 70.3 Langkawi,1739,53
IRONMAN 70.3 Fortaleza,1732,54
IRONMAN 70.3 Zell am See Kaprun,1699,55
IRONMAN 70.3 Panama,1542,56
IRONMAN Oceanside,1347,57
IRONMAN 70.3 New Zealand,1330,58
IRONMAN 70.3 Oman,1207,59
IRONMAN 70.3 Brazil,1205,60
IRONMAN 70.3 Goseong,1064,61
IRONMAN 70.3 Sao Paulo,950,62
IRONMAN 70.3 Waco,868,63
IRONMAN 70.3 San Juan / Puerto Rico,778,64
IRONMAN 70.3 Subic Bay,465,65
IRONMAN 70.3 Tallinn,452,66
IRONMAN 70.3 Goa,417,67
