,EventLocation_Encoded,Run Type_Flat,Run Type_Hilly,Run Type_Rolling,Swim Type_Bay,Swim Type_Lake,Swim Type_Ocean,Swim Type_Reservoir,Swim Type_River,Bike Type_Flat,Bike Type_Hilly,Bike Type_Rolling
0,0,1,0,0,0,0,0,0,1,0,0,1
1,1,0,0,1,0,1,0,0,0,0,0,1
2,2,0,0,1,0,0,1,0,0,1,0,0
3,3,1,0,0,0,0,0,0,1,1,0,0
4,4,1,0,0,0,0,1,0,0,0,1,0
5,5,0,0,1,0,0,1,0,0,0,0,1
6,6,0,1,0,0,0,0,1,0,0,1,0
7,7,0,0,1,0,1,0,0,0,0,1,0
8,8,0,0,1,0,0,0,1,0,1,0,0
9,9,0,0,1,1,0,0,0,0,0,0,1
10,10,0,0,1,0,1,0,0,0,0,1,0
11,11,1,0,0,0,0,1,0,0,1,0,0
12,12,0,0,1,0,0,1,0,0,1,0,0
13,13,0,1,0,0,1,0,0,0,0,0,1
14,14,1,0,0,0,0,1,0,0,1,0,0
15,15,1,0,0,0,0,0,0,1,1,0,0
16,16,1,0,0,0,0,0,0,1,0,0,1
17,17,1,0,0,0,1,0,0,0,0,1,0
18,18,1,0,0,0,1,0,0,0,0,0,1
19,19,1,0,0,0,0,0,1,0,0,0,1
20,20,1,0,0,0,1,0,0,0,0,1,0
21,21,0,0,1,0,0,0,0,1,0,0,1
22,22,1,0,0,0,1,0,0,0,1,0,0
23,23,0,1,0,0,1,0,0,0,0,0,1
24,24,1,0,0,0,0,1,0,0,0,0,1
25,25,1,0,0,1,0,0,0,0,1,0,0
26,26,0,0,1,0,1,0,0,0,0,1,0
27,27,1,0,0,0,0,1,0,0,1,0,0
28,28,1,0,0,0,1,0,0,0,1,0,0
29,29,0,0,1,1,0,0,0,0,0,0,1
30,30,1,0,0,0,0,1,0,0,1,0,0
31,31,1,0,0,0,0,0,1,0,0,1,0
32,32,1,0,0,0,0,1,0,0,0,0,1
33,33,0,0,1,0,1,0,0,0,0,0,1
34,34,1,0,0,0,0,1,0,0,1,0,0
35,35,0,0,1,0,0,0,0,1,0,0,1
36,36,1,0,0,0,0,1,0,0,1,0,0
37,37,1,0,0,0,1,0,0,0,0,0,1
38,38,1,0,0,0,0,1,0,0,0,0,1
39,39,1,0,0,0,0,1,0,0,1,0,0
40,40,1,0,0,0,1,0,0,0,0,0,1
41,41,1,0,0,0,0,1,0,0,0,1,0
42,42,1,0,0,0,0,1,0,0,1,0,0
43,43,1,0,0,0,0,1,0,0,0,1,0
44,44,1,0,0,0,0,1,0,0,0,0,1
45,45,1,0,0,0,0,1,0,0,0,0,1
46,46,0,0,1,0,1,0,0,0,1,0,0
47,47,1,0,0,0,0,1,0,0,1,0,0
48,48,0,0,1,0,0,1,0,0,1,0,0
49,49,1,0,0,0,0,1,0,0,0,0,1
50,50,1,0,0,1,0,0,0,0,1,0,0
51,51,1,0,0,0,0,0,0,1,0,0,1
52,52,1,0,0,0,0,1,0,0,0,1,0
53,53,1,0,0,0,0,1,0,0,0,1,0
54,54,1,0,0,0,0,1,0,0,1,0,0
55,55,1,0,0,0,1,0,0,0,0,0,1
56,56,1,0,0,0,0,0,1,0,1,0,0
57,57,0,0,1,0,0,1,0,0,0,0,1
58,58,1,0,0,0,1,0,0,0,0,0,1
59,59,1,0,0,0,0,1,0,0,0,0,1
60,60,1,0,0,0,1,0,0,0,1,0,0
61,61,0,1,0,0,0,1,0,0,0,0,1
62,62,1,0,0,0,0,0,1,0,1,0,0
63,63,0,0,1,0,0,0,0,1,1,0,0
64,64,0,1,0,1,0,0,0,0,1,0,0
65,65,0,0,1,0,0,1,0,0,1,0,0
66,66,1,0,0,1,0,0,0,0,1,0,0
67,67,1,0,0,0,0,1,0,0,0,0,1
